                Word      StartTime        EndTime
                 and           1060           1310
                  in           1320           1990
              SPEECH           2240           2390
              SPEECH           2720           2840
                with           2850           4040
                  o.           4510           5550
                moon           5560           6200
                  so           6200          12020
              you're          12030          12270
               white          12280          12720
                   i          14140          14370
                 i'd          14380          14600
                seen          14610          15080
                 our          15090          15310
                next          15320          15730
              humans          15730          16420
                song          16420          24640
                  c.          33020          33210
                  as          33220          33510
                  in          33550          33670
              SPEECH          34770          34940
                 tax          35060          35390
               miles          36430          36960
               hello          36960          37490
                 yes          37500          37710
             stanley          37710          43940
            nussbaum          43950          44380
               cases          44390          44840
                 for          44880          44970
                that          44980          45160
               don't          45160          45910
                 use          45920          46190
                  it          46200          46560
              SPEECH          46570          46590
              taking          46600          46890
                   a          46890          46890
                 man          51740          52190
               terry          52300          55280
                  in          55290          55380
                your          55390          55530
               stand          55540          55980
                  on          55990          56150
                  it          56160          56270
               lying          56270          57190
                  on          57200          57450
                land          57460          57810
              SPEECH          57820          57890
             imagine          57890          59570
                life          59580          59790
               hides          75820          76380
                near          76380          77690
                 the          77700          77810
               first          77820          78200
                lies          85980          86310
                  in          86320          86380
                 the          86390          86450
              limits          86460          86930
                  of          86940          87070
                lies          87080          87610
                it's          87610          89010
                from          89140          89450
               don't          89450         116390
                 you         116400         116450
            trophies         116460         117060
                that         117070         117200
                  is         117210         117360
               NOISE         117360         117360
                   i         120230         120280
                know         120560         120970
               right         121470         121710
                 now         121720         122110
                 the         122190         125830
               years         125840         126090
                  of         126100         126200
                 the         126210         126260
            presence         126270         126790
               NOISE         126800         126950
              SPEECH         126960         127000
                  of         127010         127130
             blazing         127140         127490
              trails         127500         128060
                 and         128070         128250
                  if         128250         133670
             they've         133970         137680
                rose         137690         138080
            fluorine         138080         142120
              sunday         143080         143460
                  on         143470         143660
                mike         148640         148840
                lori         148850         149250
             andrews         149260         149810
            fighting         149820         150410
                 fit         150420         150620
              you're         150620         151130
                  on         151140         151360
                  my         151370         151480
               those         174550         174760
         initiatives         174770         175430
                line         175440         175740
                  in         197470         197560
        perspiration         197570         198410
                  if         199830         200100
                 our         200110         200310
              friend         200320         200730
                  so         204980         205090
                 why         205100         205310
           ambitions         205320         206060
               vince         206070         206560
                yeah         206570         206760
          successful         209040         209610
             mission         209620         209930
                 the         212130         212190
            question         212200         212610
                with         213360         213510
                 the         213520         213620
            richness         213630         214150
          narratives         215480         216000
                  of         216010         216150
           ingenuity         216160         216860
                  in         217100         217200
                 the         217210         217270
            momentum         217280         217890
                  if         217960         218160
                  we         218170         218400
                hold         218410         218720
              that's         220640         220980
                 the         220990         221230
              bernas         221240         221640
              figure         221840         222850
                  up         222850         242700
